Field=#~Integer~#~50|Field=Line #~String~Line #~123|Field=Name~String~Name~121|Field=Description~String~Description~166|Field=Designator~String~Designator~163|Field=Quantity~Integer~Quantity~144|Field=Manufacturer 1~String~Manufacturer 1~201|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~313|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~278|Field=Supplier 1~String~Supplier 1~156|Field=Supplier Part Number 1~String~Supplier Part Number 1~268|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~243|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~231|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Bluetooth_Sentinel.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\NEXUS\Examples\Bluetooth Sentinel\Bluetooth_Sentinel.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [Bluetooth_Sentinel.BomDoc]|ReportField=ReportTime~9:25:29 AM|ReportField=ReportDate~5/14/2018|ReportField=ReportDateTime~5/14/2018 9:25:29 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~61|ReportField=TotalActualPrice~165.42|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=Class~Sensor|ReportField=CompanyName~|ReportField=CurrentDate~5/14/2018|ReportField=CurrentTime~9:23:36 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\NEXUS\Examples\Bluetooth Sentinel\Managed\Sheets\2F97070E-C603-4B05-BFD4-1851083FF406\3-Axis_Accelerometer.SchDoc|ReportField=DocumentName~3-Axis_Accelerometer.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=MaxASupply~3V6|ReportField=MaxDSupply~VDD + 0V1|ReportField=MinASupply~2V16|ReportField=MinDSupply~1V71|ReportField=ModifiedDate~10/16/2013|ReportField=Organization~Altium Limited.|ReportField=ProjectName~Bluetooth_Sentinel.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~21|ReportField=SubClass~|ReportField=Time~|ReportField=Title~3-Axis Accelerometer|ReportField=DataSourceFileName~Bluetooth_Sentinel.BomDoc|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\NEXUS\Examples\Bluetooth Sentinel\Bluetooth_Sentinel.BomDoc|ReportField=PCBConfigurationName~Documentation|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||CAP 20pF 10V 0402(1005)|CAP 20pF 10V ±0.25pF 0402 (1005 Metric) Thickness 0.6mm SMD|C1, C2|2|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C0402C200C8GACTU{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
12||CAP 22pF 16V 0402(1005)|CAP 22pF 16V ±0.25pF 0402 (1005 Metric) Thickness 0.6mm SMD|C5|1|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C0402C220C4GACTU{URL.TIP}Manufacturer|Volume Production||{URL}{URL.TEXT}{URL.TIP}Supplier||
13||CAP 24pF 10V 0402(1005)|CAP 24pF 10V ±0.25pF 0402 (1005 Metric) Thickness 0.6mm SMD|C3, C4, C27, C28|4|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C0402C240C8GAC{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
14||CAP 33pF 10V 0402(1005)|CAP 33pF 10V ±0.5pF 0402 (1005 Metric) Thickness 0.6mm SMD|C14|1|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C0402C330D8GACTU{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
15||CAP 100nF 6.3V 0402(1005)|CAP 100nF 6.3V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C7, C8, C10, C19, C21, C22, C23, C25|8|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}C0402C104J9RACTU{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
16||CAP 100nF 16V 0402(1005)|CAP 100nF 16V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C16, C17|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C104K4PACTU%26seller%3DFarnell%26sku%3D2522380%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C104K4PACTU%26seller%3DFarnell%26sku%3D2522380%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0402C104K4PACTU{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0402C104K4PACTU%26seller%3DFarnell%26sku%3D2522380%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2522380{URL.TIP}Supplier|0.01761|0.17605
17||CAP 470nF 6.3V 0402(1005)|CAP 470nF 6.3V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C9, C12, C13|3|{URL}{URL.TEXT}TDK{URL.TIP}Component|{URL}{URL.TEXT}C1005X5R0J474K{URL.TIP}Manufacturer|Volume Production||{URL}{URL.TEXT}{URL.TIP}Supplier||
18||MMZ1005Y152CT|Chip Bead for Signal Line, 1500 ohm at 100 MHz, -55 to 125 degC, 1.0 x 1.0 x 0.5 mm SMD|L2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMMZ1005Y-152CT%26seller%3DFarnell%26sku%3D2800748%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMMZ1005Y-152CT%26seller%3DFarnell%26sku%3D2800748%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MMZ1005Y-152CT{URL.TIP}Manufacturer|Volume Production|Farnell|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMMZ1005Y-152CT%26seller%3DFarnell%26sku%3D2800748%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2800748{URL.TIP}Supplier|0.0153|153.03
19||BK-912-TR|Coin Cell Holder, 21.08 x 15.24 mm SMD|J1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMemory%2520Protection%2520Devices%26mpn%3DBK-912-TR%26seller%3DDigi-Key%26sku%3DBK-912DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Memory%20Protection%20Devices{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMemory%2520Protection%2520Devices%26mpn%3DBK-912-TR%26seller%3DDigi-Key%26sku%3DBK-912DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}BK-912-TR{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMemory%2520Protection%2520Devices%26mpn%3DBK-912-TR%26seller%3DDigi-Key%26sku%3DBK-912DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}BK-912DKR-ND{URL.TIP}Supplier|0.49|0.49
20||21C00047-16.000MHz|Crystal, 16 MHz, -30 to 85 degC, 3.2 x 2.5 x 0.9 mm SMD|X1|1|{URL}{URL.TEXT}ITTI{URL.TIP}Component|{URL}{URL.TEXT}21C00047-16.000MHz{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
21||14340272-32.768KHz|Crystal, 32.768 KHz, -40 to 85 degC, 3.2 x 1.5 x 0.9 mm SMD|X2, X3|2|{URL}{URL.TEXT}ITTI{URL.TIP}Component|{URL}{URL.TEXT}14340272-32.768KHz{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
22||LNJ247W82RA|Hight Bright Surface Mounting Chip LED (Red), 55 mW, -30 to 85 degC, 1.0 x 0.5 x 0.2 mm SMD|LED1, LED2, LED3, LED4, LED5, LED6|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ247W82RA%26seller%3DAvnet%26sku%3DLNJ247W82RA%252FBKN%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic%20SSG{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ247W82RA%26seller%3DAvnet%26sku%3DLNJ247W82RA%252FBKN%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LNJ247W82RA{URL.TIP}Manufacturer|Volume Production|Avnet|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%2520SSG%26mpn%3DLNJ247W82RA%26seller%3DAvnet%26sku%3DLNJ247W82RA%252FBKN%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}LNJ247W82RA%2FBKN{URL.TIP}Supplier|0.2929|1.76
23||Jumper 0402(1005)|Jumper 0402 (1005 Metric)|R11|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GE0R00X%26seller%3DAllied%2520Electronics%26sku%3D70260855%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GE0R00X%26seller%3DAllied%2520Electronics%26sku%3D70260855%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-2GE0R00X{URL.TIP}Manufacturer|Volume Production|Allied Electronics|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-2GE0R00X%26seller%3DAllied%2520Electronics%26sku%3D70260855%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}70260855{URL.TIP}Supplier|0.01|0.01
24||LFB212G45SG8A143|LFB21(0805)_SG Series Filter for Wireless LAN/Bluetooth, 2400-2500 MHz, 2 x 1.25 x 0.95 mm|FL1|1|{URL}{URL.TEXT}Murata{URL.TIP}Component|{URL}{URL.TEXT}LFB212G45SG8A143{URL.TIP}Manufacturer|Volume Production||{URL}{URL.TEXT}{URL.TIP}Supplier||
25||LIS331DLTR|MEMS motion sensor 3-axis - ± 2g/± 8g smart digital output nano accelerometer, -40 to +85°C, LGA-16 (3x3x1), Tape and Reel|U3|1|{URL}{URL.TEXT}STMicroelectronics{URL.TIP}Component|{URL}{URL.TEXT}LIS331DLTR{URL.TIP}Manufacturer|Not Recommended for New Design||{URL}{URL.TEXT}{URL.TIP}Supplier||
26||7447966|SMD-Multilayer Inductor WE-MI, L = 4.70 µH|L1|1|{URL}{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}{URL.TEXT}7447966{URL.TIP}Manufacturer|Unknown||{URL}{URL.TEXT}{URL.TIP}Supplier||
27||STM32F101T6U6A|STM32 ARM-based 32-bit MCU Access Line with 32 kB Flash, 6 kB Internal RAM, Internal Code A, -40 to +85°C Temperature, 36-Pin VFQFPN, Tray|U4|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTMicroelectronics%26mpn%3DSTM32F101T6U6A%26seller%3DMouser%26sku%3D511-STM32F101T6U6A%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}STMicroelectronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTMicroelectronics%26mpn%3DSTM32F101T6U6A%26seller%3DMouser%26sku%3D511-STM32F101T6U6A%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}STM32F101T6U6A{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSTMicroelectronics%26mpn%3DSTM32F101T6U6A%26seller%3DMouser%26sku%3D511-STM32F101T6U6A%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}511-STM32F101T6U6A{URL.TIP}Supplier|3.64|3.64
